Date,Open,High,Low,Close*,Adj Close**,Volume
2/11/2022,9455.67,9497.77,9235.65,9271.8,9271.8,-
2/10/2022,9553.85,9628.53,9410.11,9450.72,9450.72,-
2/9/2022,9539.55,9629.44,9539.55,9623.84,9623.84,-
2/8/2022,9397.85,9505.43,9367.39,9484.95,9484.95,-
2/7/2022,9451.76,9485.55,9380.04,9405.84,9405.84,-
2/4/2022,9403.37,9522.52,9337.81,9440.58,9440.58,-
2/3/2022,9512.15,9527.81,9375.78,9390.57,9390.57,-
2/2/2022,9576.7,9637.31,9530.76,9624.89,9624.89,-
2/1/2022,9478.4,9543.08,9403.3,9534.95,9534.95,-
1/31/2022,9294.26,9472.55,9257.74,9469.92,9469.92,-
1/28/2022,9093.63,9295.43,9002.1,9294.21,9294.21,-
1/27/2022,9185.6,9286.11,9036.83,9072.24,9072.24,-
1/26/2022,9243.42,9337.02,9026.7,9120.75,9120.75,-
1/25/2022,9155.69,9248.57,8989.1,9134.33,9134.33,-
1/24/2022,9134.01,9261.56,8854.41,9246.84,9246.84,-
1/21/2022,9375.27,9423.62,9216.12,9221.28,9221.28,-
1/20/2022,9534.44,9649.12,9389.01,9398.96,9398.96,-
1/19/2022,9619.02,9667.84,9497.89,9503.14,9503.14,-
1/18/2022,9711.5,9711.5,9578.47,9595.93,9595.93,-
1/14/2022,9723.4,9780.23,9674.68,9775.53,9775.53,-
1/13/2022,9923.6,9945.45,9749.25,9767.35,9767.35,-
1/12/2022,9912.07,9953.78,9866.34,9907.38,9907.38,-
1/11/2022,9787.31,9880.62,9722.6,9879.39,9879.39,-
1/10/2022,9758.38,9795.33,9605.42,9789.72,9789.72,-
1/7/2022,9847.08,9868.62,9773.9,9803.85,9803.85,-
1/6/2022,9836.34,9902.52,9791.01,9841.92,9841.92,-
1/5/2022,10033.87,10053.81,9848.38,9850.7,9850.7,-
1/4/2022,10067.74,10097.3,10004.61,10044.75,10044.75,-
1/3/2022,10011.81,10050.55,9970.14,10050.41,10050.41,-
12/31/2021,10005.61,10029.96,9985.79,9986.7,9986.7,-
12/30/2021,10044.99,10075.65,10005.82,10012.51,10012.51,-
12/29/2021,10032.35,10064.4,10010.43,10041.61,10041.61,-
12/28/2021,10046.67,10070.63,10014.48,10027.53,10027.53,-
12/27/2021,9917.84,10038.25,9917.84,10037.67,10037.67,-
12/23/2021,9854.57,9931.33,9854.57,9900.3,9900.3,-
12/22/2021,9742.12,9840.8,9733.9,9838.9,9838.9,-
12/21/2021,9625.07,9742.73,9600.52,9738.73,9738.73,-
12/20/2021,9609.54,9609.54,9490.58,9567.91,9567.91,-
12/17/2021,9744.76,9774.2,9635.95,9678.03,9678.03,-
12/16/2021,9883.76,9910.21,9743.39,9778.09,9778.09,-
12/15/2021,9710.22,9868.89,9657.38,9863.92,9863.92,-
12/14/2021,9723.7,9760.21,9647.46,9705.06,9705.06,-
12/13/2021,9863.22,9863.22,9774.32,9776.69,9776.69,-
12/10/2021,9815.56,9869.7,9779.29,9866.62,9866.62,-
12/9/2021,9822.49,9831.42,9771.57,9773.19,9773.19,-
12/8/2021,9821.02,9850.63,9787.08,9842.68,9842.68,-
12/7/2021,9697.52,9827.28,9697.52,9812.2,9812.2,-
12/6/2021,9522.37,9656.51,9506.46,9613.02,9613.02,-
12/3/2021,9608.19,9646.98,9410.82,9501.28,9501.28,-
12/2/2021,9430.31,9619.96,9430.31,9581.79,9581.79,-
12/1/2021,9634.11,9738.92,9443.2,9446.21,9446.21,-
11/30/2021,9711.62,9723.29,9544.47,9558.33,9558.33,-
11/29/2021,9686.3,9778.71,9679.16,9741.78,9741.78,-
11/26/2021,9760.75,9760.75,9595.2,9614.25,9614.25,-
11/24/2021,9783.85,9840.22,9750.71,9837.6,9837.6,-
11/23/2021,9789.09,9832.07,9735.08,9814.65,9814.65,-
11/22/2021,9859.07,9925.67,9797.04,9798.29,9798.29,-
11/19/2021,9850.73,9870.1,9821.25,9828.8,9828.8,-
11/18/2021,9834.35,9851.25,9776.65,9842.35,9842.35,-
11/17/2021,9835.11,9835.11,9799.36,9808.27,9808.27,-
11/16/2021,9787,9861.11,9787,9831.91,9831.91,-
11/15/2021,9807.11,9823.76,9773.24,9793.53,9793.53,-
11/12/2021,9735.49,9804.69,9726.29,9793.22,9793.22,-
11/11/2021,9743.23,9753.17,9720.18,9722.08,9722.08,-
11/10/2021,9765.96,9796.31,9683.8,9716.72,9716.72,-
11/9/2021,9841.12,9843.27,9765.26,9795.12,9795.12,-
11/8/2021,9828.35,9856.42,9813.56,9828.81,9828.81,-
11/5/2021,9823.6,9863.59,9786.18,9819.98,9819.98,-
11/4/2021,9746.69,9788.64,9746.29,9782.48,9782.48,-
11/3/2021,9677.93,9746.13,9658.34,9740.47,9740.47,-
11/2/2021,9641.76,9687.07,9641.76,9677.95,9677.95,-
11/1/2021,9636.06,9656.38,9603.77,9642.44,9642.44,-
10/29/2021,9557.09,9630.58,9547.97,9625.02,9625.02,-
10/28/2021,9535.06,9607.34,9535.06,9605.23,9605.23,-
10/27/2021,9570.9,9579.39,9511.23,9511.27,9511.27,-
10/26/2021,9567.55,9608.79,9548.2,9559.39,9559.39,-
10/25/2021,9515.26,9554.58,9481.14,9541.99,9541.99,-
10/22/2021,9499.42,9527.7,9453.2,9496.86,9496.86,-
10/21/2021,9470.26,9510.33,9459.2,9506.91,9506.91,-
10/20/2021,9453.23,9487.45,9453.19,9477.82,9477.82,-
10/19/2021,9396.55,9444.65,9394.67,9443.12,9443.12,-
10/18/2021,9326.17,9378.35,9292.54,9373.68,9373.68,-
10/15/2021,9292.67,9351.37,9292.67,9342.15,9342.15,-
10/14/2021,9165.35,9275.77,9165.35,9272.97,9272.97,-
10/13/2021,9104.29,9134.46,9045.6,9116.39,9116.39,-
10/12/2021,9125.63,9139.38,9071.27,9088.73,9088.73,-
10/11/2021,9161.41,9224.89,9110.39,9110.76,9110.76,-
10/8/2021,9205.44,9216.65,9163.19,9173.74,9173.74,-
10/7/2021,9157.69,9254.28,9157.69,9191.19,9191.19,-
10/6/2021,9021.6,9117.57,8961.01,9113.45,9113.45,-
10/5/2021,9001.33,9125.19,9001.33,9076.19,9076.19,-
